j,xj,F(xj),S(xj),|F(xj)-S(xj)|,dF(xj),dS(xj),|dF(xj)-dS(xj)|,ddF(xj),ddS(xj),|ddF(xj)-ddS(xj)|
94,0.19490868364499717,-0.3567492786183544,-0.7844421765290678,0.42769289791071335,-9.164675264092974,-5.535413986527846,3.629261277565128,37.57469896435906,55.71300663745979,18.138307673100734
95,0.1970044759422552,-0.3758725915469488,-0.7959208991412574,0.4200483075943086,-9.08389191029656,-5.418023338885869,3.66586857141069,39.51351743098642,56.31207122495571,16.79855379396929
96,0.19910026823951324,-0.39482235371249874,-0.8071522796890703,0.4123299259765716,-8.999062944848843,-5.29937717629603,3.699685768552813,41.43525664775762,56.91113581242005,15.47587916466243
97,0.20119606053677128,-0.4135901244817306,-0.8181336868739499,0.40454356239221934,-8.910225048391476,-5.1794754987581175,3.7307495496333587,43.339072314249634,57.51020039995389,14.171128085704254
98,0.2032918528340293,-0.4321675419449131,-0.8288624893973383,0.39669494745242523,-8.817416662862067,-5.058318306272051,3.759098356590016,45.224127999935064,58.10926498746252,12.885136987527453
99,0.20538764513128735,-0.45054632658961286,-0.8393360559606785,0.38878972937106565,-8.72067797461493,-4.935905598838017,3.784772375776912,47.08959551155921,58.708329574933,11.618734063373793
100,0.2074834374285454,-0.468718284938275,-0.8495517552654134,0.3808334703271384,-8.620050896775632,-4.81223737645599,3.807813520319643,48.93465525689978,59.30739416242891,10.372738905529133
101,0.20957922972580342,-0.4866753131480215,-0.8595069560129859,0.3728316428649644,-8.515579050837136,-4.687313639125888,3.8282654117112482,50.7584966047483,59.90645874994284,9.14796214519454
102,0.21167502202306146,-0.5044094005710937,-0.8691990269048385,0.3647896263337448,-8.407307747505557,-4.5611343868477165,3.8461733606578408,52.56031824095606,60.50552333744572,7.945205096489666
103,0.21377081432031947,-0.521912633274371,-0.8786253366424142,0.35671270336804317,-8.295283966804025,-4.433699619621519,3.8615843471825055,54.3393285203875,61.10458792494334,6.765259404555842
104,0.2158666066175775,-0.5391771975164251,-0.8877832539271557,0.3486060564107306,-8.179556337443293,-4.305009337447273,3.87454699999602,56.09474581462747,61.70365251243842,5.608906697810944
105,0.21796239891483554,-0.5561953831805724,-0.896670147460506,0.3404747642799336,-8.060175115468281,-4.175063540325009,3.885111575143272,57.82579885528802,62.302717099933695,4.476918244645674
106,0.22005819121209358,-0.57295958716243,-0.9052833859439078,0.3323237987814778,-7.93719216218978,-4.043862228254698,3.8933299339350826,59.53172707276578,62.90178168744232,3.3700546146765404
107,0.22215398350935162,-0.5894623167104772,-0.9136203380788038,0.3241580213683266,-7.810660921411161,-3.911405401236313,3.899255520174848,61.21178093029974,63.50084627494438,2.2890653446446407
108,0.22424977580660965,-0.6056961927181588,-0.9216783725666369,0.3159821798484781,-7.680636395959969,-3.7776930592699074,3.902943336690061,62.865222253183376,64.09991086243404,1.234688609250668
109,0.2263455681038677,-0.6216539529660852,-0.9294548581088499,0.3078009051427647,-7.547175123534794,-3.642725202355481,3.9044499211793133,64.49132455298638,64.69897544992996,0.2076508969435764
110,0.22844136040112573,-0.6373284553129023,-0.9369471634068856,0.2996187080939833,-7.410335151877985,-3.5065018304930073,3.9038333213849774,66.08937334664341,65.29804003743848,0.79133330920493
111,0.23053715269838376,-0.6527126808334351,-0.9441526571621868,0.2914399763287516,-7.270176013285104,-3.36902294368246,3.901153069602644,67.65866647027026,65.89710462494064,1.7615618453296236
